;OPCODE					MNEMONIC		BYTES		CYCLES		DOCUMENTED	FLAGS		DESCRIPTION


;PRIMARY INSTRUCTIONS

00000000				nop			1		4		1		--------	No operation is performed.
00001000				ex af,af'		1		4		1		--------	Exchanges the contents of .reg16af[3;1] and .reg16sh[3;1].
00010000........			djnz ofs8		2		13/8		1		--------	The .reg8[0;1] register is decremented, and if not zero, the signed value .imm8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.
00011000........			jr ofs8			2		12		1		--------	The signed value .ofs8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.
001..000........			jr cc,ofs8		2		12/7		1		--------	If condition .cc[] is true, the signed value .ofs8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.

00..0001................		ld reg16,imm16		3		10		1		--------	Loads .imm16[] into register .reg16[].
00..1001				add hl,reg16		1		11		1		--*H*-NC	The value of .reg16[] is added to .reg16[2;1].

00000010				ld (bc),a		1		7		1		--------	Stores .reg8[7;1] into the byte of memory pointed to by .reg16[0;1].
00010010				ld (de),a		1		7		1		--------	Stores .reg8[7;1] into the byte of memory pointed to by .reg16[1;1].
00100010................		ld (imm16),hl		3		16		1		--------	Stores .reg16[2;1] into the word of memory pointed to by .imm16[].
00110010................		ld (imm16),a		3		13		1		--------	Stores .reg8[7;1] into the byte of memory pointed to by .imm16[].
00001010				ld a,(bc)		1		7		1		--------	Loads the byte of memory pointed to by .reg16[0;1] into .reg8[7;1].
00011010				ld a,(de)		1		7		1		--------	Loads the byte of memory pointed to by .reg16[1;1] into .reg8[7;1].
00101010................		ld hl,(imm16)		3		16		1		--------	Loads the word of memory pointed to by .imm16[] into .reg16[2;1].
00111010................		ld a,(imm16)		3		13		1		--------	Loads the byte of memory pointed to by .imm16[] into .reg8[7;1].

00..0011				inc reg16		1		6		1		--------	Adds one to .reg16[].
00..1011				dec reg16		1		6		1		--------	Subtracts one from .reg16[].

00...100				inc reg8		1		4/11		1		SZ*H*VN-	Adds one to .reg8[].

00...101				dec reg8		1		4/11		1		SZ*H*VN-	Subtracts one from .reg8[].

00...110........			ld reg8,imm8		2		7/10		1		--------	Loads .imm8[] into .reg8[].

00000111				rlca			1		4		1		--*0*-0C	The contents of .reg8[7;1] are rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0.
00001111				rrca			1		4		1		--*0*-0C	The contents of .reg8[7;1] are rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7.
00010111				rla			1		4		1		--*0*-0C	The contents of .reg8[7;1] are rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0.
00011111				rra			1		4		1		--*0*-0C	The contents of .reg8[7;1] are rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7.
00100111				daa			1		4		1		SZ***P-*	Adjusts .reg8[7;1] for BCD addition and subtraction operations.
00101111				cpl			1		4		1		--*1*-1-	The contents of .reg8[7;1] are inverted (one's complement).
00110111				scf			1		4		1		--*0*-01	Sets the carry flag.
00111111				ccf			1		4		1		--***-0*	Inverts the carry flag.

01110110				halt			1		4		1		--------	Suspends CPU operation until an interrupt or reset occurs.
